#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-16.13344166,-0.0009432307040044588,-0.0002694944868584168
-16.12924243,-0.0009432307040044588,-0.0002694944868584168
-16.1250432,-0.0009432307040044588,-0.0002694944868584168
-16.12084397,-0.0009432307040044588,-0.0002694944868584168
-16.11664474,-0.0009432307040044588,-0.0002694944868584168
-16.11244551,-0.0009432307040044588,-0.0002694944868584168
-16.10824628,-0.000943230704004305,-0.0002694944868583729
-16.10404705,-0.0006051791362214857,-0.0001729083246347102
-16.09984782,-0.0006051791362213319,-0.0001729083246346663
-16.09564859,-0.0006051791362214857,-0.0001729083246347102
-16.09144936,-0.000943230704004305,-0.0002694944868583729
-16.08725013,-0.0006051791362213319,-0.0001729083246346663
-16.0830509,-0.0006051791362213319,-0.0001729083246346663
-16.07885167,-0.0006051791362213319,-0.0001729083246346663
-16.07465244,-0.0006051791362213319,-0.0001729083246346663
-16.07045321,-0.0006051791362213319,-0.0001729083246346663
-16.06625398,-0.0006051791362213319,-0.0001729083246346663
-16.06205475,-0.0006051791362213319,-0.0001729083246346663
-16.05785552,-0.0006051791362213319,-0.0001729083246346663
-16.05365629,-0.000943230704004305,-0.0002694944868583729
-16.04945706,-0.0006051791362213319,-0.0001729083246346663
-16.04525783,-0.0006051791362213319,-0.0001729083246346663
-16.0410586,-0.0006051791362213319,-0.0001729083246346663
-16.03685937,-0.0006051791362213319,-0.0001729083246346663
-16.03266014,-0.0006051791362213319,-0.0001729083246346663
-16.02846091,-0.0006051791362213319,-0.0001729083246346663
-16.02426168,-0.0006051791362213319,-0.0001729083246346663
-16.02006245,-0.0006051791362213319,-0.0001729083246346663
-16.01586322,-0.0006051791362213319,-0.0001729083246346663
-16.01166399,-0.000943230704004305,-0.0002694944868583729
-16.00746476,-0.0006051791362213319,-0.0001729083246346663
-16.00326553,-0.0006051791362213319,-0.0001729083246346663
-15.9990663,-0.0006051791362213319,-0.0001729083246346663
-15.99486707,-0.0006051791362213319,-0.0001729083246346663
-15.99066784,-0.0006051791362213319,-0.0001729083246346663
-15.98646861,-0.0006051791362213319,-0.0001729083246346663
-15.98226938,-0.0006051791362213319,-0.0001729083246346663
-15.97807015,-0.0006051791362213319,-0.0001729083246346663
-15.97387092,-0.0006051791362213319,-0.0001729083246346663
-15.96967169,-0.0006051791362213319,-0.0001729083246346663
-15.96547246,-0.0006051791362213319,-0.0001729083246346663
-15.96127323,-0.0006051791362213319,-0.0001729083246346663
-15.957074,-0.0006051791362213319,-0.0001729083246346663
